sku,Preis,Inhalt / Volumen,Grössenangaben,Napfart,Marke,Material,Durchmesser/Länge,Form,Farbe,Eigenschaften,Tierart,Breite,Tiefe,Höhe,Ausstattung,Kubikmeter,Mit/ohne Filter,Zubehör,Beleuchtung,Schalenhöhe
403060,"8,9","40 – 100ml",,Tränke,Ferplast,Kunststoff,,,Blau,,,,,,,,,,,
100623,"5,9","301 – 600ml",,Standard-Napf,swisspet,Keramik,"10.1 – 15cm",Rund,Braun,,,,,,,,,,,
400864,"6,5","301 – 600ml","40 – 100ml",Standard-Napf,swisspet,Keramik,"5 – 10cm",Rund,Beige,,,,,,,,,,,
400866,"5,9","301 – 600ml",8.5x3cm,Standard-Napf,swisspet,Keramik,"5 – 10cm",Rund,"Weiss||Mit Muster",,,,,,,,,,,
546815,"3,5","101 – 300ml",200ml,Standard-Napf,swisspet,Kunststoff,"10.1 – 15cm",Rund,Grün,,,,,,,,,,,
400817,"11,5","101 – 300ml",200ml,Standard-Napf,swisspet,Melamin,"10.1 – 15cm",Rund,Grün,,,,,,,,,,,
400585,"26,5","301 – 600ml",360ml,Tränke,swisspet,Keramik,,Rund,Weiss||Grau,,,,,,,,,,,
400758,"6,5","301 – 600ml",8x3.5cm,Standard-Napf,swisspet,Keramik,"5 – 10cm",Rund,"Weiss||Bunt||Mit Muster",,,,,,,,,,,
400759,"8,5","301 – 600ml",11x4.5cm,Standard-Napf,swisspet,Keramik,"10.1 – 15cm",Rund,"Weiss||Bunt||Mit Muster",,,,,,,,,,,
400645,"4,9","601 – 1000ml",10x5.8x2cm,Standard-Napf,swisspet,Keramik,"10.1 – 15cm",,Beige,,,,,,,,,,,
400646,"6,5","1 – 3 Liter",12.7x8.4x2cm,Standard-Napf,swisspet,Keramik,"10.1 – 15cm",,Beige,,,,,,,,,,,
400647,"8,9","1 – 3 Liter",15.8x10.3x3.3cm,Standard-Napf,swisspet,Keramik,"15 – 25cm",,Beige,,,,,,,,,,,
400648,"12,5","601 – 1000ml",19.2x12.8x3.7cm,Standard-Napf,swisspet,Keramik,"15 – 25cm",,Beige,,,,,,,,,,,
100566,"4,8","301 – 600ml",7x4.5x12cm,Trinkbrunnen,swisspet,Kunststoff,"10.1 – 15cm",Eckig,Weiss||Blau||Rot,,,,,,,,,,,
100546,"6,5","301 – 600ml",6x8x15cm,Trinkbrunnen,swisspet,Kunststoff,"10.1 – 15cm",Eckig,Weiss||Braun,,,,,,,,,,,
100548,"9,5","601 – 1000ml",7.4x11.2x15.2cm,Trinkbrunnen,swisspet,Kunststoff,"15 – 25cm",Rund,Beige,,,,,,,,,,,
100565,"3,8","40 – 100ml",75ml,Trinkbrunnen,swisspet,Kunststoff,"15 – 25cm",Rund,Gelb||Blau||Rot||Weiss,,,,,,,,,,,
100545,"3,8","40 – 100ml",65ml,Tränke,swisspet,Kunststoff,"10.1 – 15cm",Eckig,Weiss,,,,,,,,,,,
100549,"12,5","1 – 3 Liter",7.4x14.8x15.5cm,Futterautomat,Ferplast,Kunststoff,"15 – 25cm",Rund,Weiss,,,,,,,,,,,
100547,"6,9","601 – 1000ml",,Futterautomat,Ferplast,Kunststoff,"15 – 25cm",Eckig,Schwarz||Weiss,,,,,,,,,,,
100597,"11,9","1 – 3 Liter",11x8.5x13cm,Futterautomat,Ferplast,Kunststoff,"10.1 – 15cm",Eckig,Weiss,,,,,,,,,,,
100598,"5,9","601 – 1000ml",9x9x9cm,Standard-Napf,Ferplast,Kunststoff,"5 – 10cm",,Weiss,,,,,,,,,,,
100513,"6,9","301 – 600ml",7x5.7x7.8cm,Standard-Napf,Ferplast,Kunststoff,"5 – 10cm",,Weiss,,,,,,,,,,,
100579,"4,8","601 – 1000ml",9x9x9cm,Standard-Napf,Ferplast,Keramik,"5 – 10cm",,Weiss,,,,,,,,,,,
100539,"4,8","101 – 300ml",9.3x7x2cm,Standard-Napf,Ferplast,Kunststoff,"5 – 10cm",Eckig,Weiss,,,,,,,,,,,
100532,"8,9","1 – 3 Liter",21x8.5x6.5cm,Standard-Napf,Ferplast,Kunststoff,"15 – 25cm",Eckig,Beige,,,,,,,,,,,
100647,"17,9","Über 3 Liter",23x15x24cm,Tränke,Ferplast,Kunststoff,"15 – 25cm",Eckig,Schwarz||Weiss,,,,,,,,,,,
188332,"5,9","Über 3 Liter",14x15.7x14.5cm,Tränke,swisspet,Kunststoff,"15 – 25cm",,Blau||Weiss,,,,,,,,,,,
100569,"8,9","Über 3 Liter",14x15.7x13.8cm,Tränke,Ferplast,Kunststoff,"15 – 25cm",,Blau||Grau,,,,,,,,,,,
101068,"7,5","101 – 300ml","0.3 l",Standard-Napf,swisspet,Edelstahl,"5 – 10cm",Rund,Grau,,,,,,,,,,,
101069,"9,5","301 – 600ml","0.6 l",Standard-Napf,swisspet,Edelstahl,"10.1 – 15cm",Rund,Grau,,,,,,,,,,,
100590,"2,9","301 – 600ml",7x8x7.5cm,Standard-Napf,swisspet,Kunststoff,"5 – 10cm",Eckig,Gelb||Weiss||Violett,,,,,,,,,,,
100591,"3,5","601 – 1000ml",9x8x8.5cm,Standard-Napf,swisspet,Kunststoff,"5 – 10cm",Eckig,Gelb||Weiss||Violett,,,,,,,,,,,
403062,"9,9","301 – 600ml",Tränke,Tränke,Ferplast,Kunststoff,,,Blau,,,,,,,,,,,
403064,"12,9","301 – 600ml",Tränke,Tränke,Ferplast,Kunststoff,,,Blau,,,,,,,,,,,
403012,"5,4","40 – 100ml",Tränke,Tränke,Ferplast,Kunststoff,,,Rot||Blau||Weiss,,,,,,,,,,,
403022,"5,9","101 – 300ml",Tränke,Tränke,Ferplast,Kunststoff,,,Rot||Blau||Weiss,,,,,,,,,,,
403032,"7,3","101 – 300ml",Tränke,Tränke,Ferplast,Kunststoff,,,Rot||Blau||Weiss,,,,,,,,,,,
403042,"9,5","301 – 600ml",Tränke,Tränke,Ferplast,Kunststoff,,,Rot||Blau||Weiss,,,,,,,,,,,
400580,"4,4","101 – 300ml",Tränke,Tränke,swisspet,Glas,"10.1 – 15cm",,,,,,,,,,,,,
400558,"8,9","101 – 300ml",Tränke,Tränke,Copacabana,Glas,,,,,,,,,,,,,,
400559,"9,9","301 – 600ml",Tränke,Tränke,Copacabana,Glas,,,,,,,,,,,,,,
400560,"12,9","601 – 1000ml",Tränke,Tränke,Copacabana,Glas,,,,,,,,,,,,,,
400591,"4,9","40 – 100ml",Tränke,Tränke,swisspet,Kunststoff,,,Rot,,,,,,,,,,,
400592,"5,5","40 – 100ml",Tränke,Tränke,swisspet,Kunststoff,,,Grün,,,,,,,,,,,
400593,"6,9","101 – 300ml",Tränke,Tränke,swisspet,Kunststoff,,,Blau,,,,,,,,,,,
400594,"8,5","301 – 600ml",Tränke,Tränke,swisspet,Kunststoff,,,Schwarz,,,,,,,,,,,
400595,"9,8","301 – 600ml",Tränke,Tränke,swisspet,Kunststoff,,,Rot,,,,,,,,,,,
400601,"4,9","40 – 100ml",,,swisspet,Kunststoff,,,Rot||Blau,,,,,,,,,,,
400584,"14,9","301 – 600ml",Standard-Napf,Standard-Napf,swisspet,Kunststoff,"10.1 – 15cm",Rund,Weiss,,,,,,,,,,,
400789,"8,9","301 – 600ml",Standard-Napf,Standard-Napf,swisspet,Keramik,"10.1 – 15cm",Rund,Blau||Beige,,,,,,,,,,,
400756,"6,9","101 – 300ml",Standard-Napf,Standard-Napf,swisspet,Keramik,"10.1 – 15cm",Eckig,Blau||Beige,,,,,,,,,,,
400757,"8,5","101 – 300ml",Standard-Napf,Standard-Napf,swisspet,Keramik,"15 – 25cm",Eckig,Blau||Beige,,,,,,,,,,,
400641,"6,9","101 – 300ml",Standard-Napf,Standard-Napf,swisspet,Keramik,"10.1 – 15cm",Eckig,Braun||Beige,,,,,,,,,,,
400640,"12,9","1 - 3 Liter",Standard-Napf,Standard-Napf,swisspet,Keramik,"15 – 25cm",Eckig,Braun||Beige,,,,,,,,,,,
100606,"5,9","301 – 600ml",Standard-Napf,Standard-Napf,swisspet,Keramik,"5 – 10cm",Rund,Braun||Beige,,,,,,,,,,,
100612,"8,9","1 - 3 Liter",Standard-Napf,Standard-Napf,swisspet,Keramik,"15 – 25cm",Rund,Braun||Beige,,,,,,,,,,,
400780,"5,9","101 – 300ml",Standard-Napf,Standard-Napf,swisspet,Keramik,"5 – 10cm",Rund,"Mit Muster",,,,,,,,,,,
400760,"4,9","101 – 300ml",Standard-Napf,Standard-Napf,swisspet,Keramik,"5 – 10cm",Rund,Beige,,,,,,,,,,,
400755,"5,9","101 – 300ml",Standard-Napf,Standard-Napf,swisspet,Keramik,"5 – 10cm",Rund,Beige,,,,,,,,,,,
400785,"5,9","101 – 300ml",Standard-Napf,Standard-Napf,swisspet,Keramik,"5 – 10cm",Rund,"Weiss||Mit Muster",,,,,,,,,,,
400812,"6,5","101 – 300ml",Standard-Napf,Standard-Napf,swisspet,Keramik,"5 – 10cm",Rund,"Weiss||Mit Muster",,,,,,,,,,,
400814,"6,9","301 – 600ml",Standard-Napf,Standard-Napf,swisspet,Keramik,"5 – 10cm",Rund,"Weiss||Bunt||Mit Muster",,,,,,,,,,,
400810,"7,5","101 – 300ml",Standard-Napf,Standard-Napf,swisspet,Keramik,"5 – 10cm",Rund,Weiss||Blau,,,,,,,,,,,
101065,"8,5","101 – 300ml",Standard-Napf,Standard-Napf,swisspet,Chromstahl,"5 – 10cm",Rund,,,,,,,,,,,,
101066,"10,9","301 – 600ml",Standard-Napf,Standard-Napf,swisspet,Chromstahl,"10.1 – 15cm",Rund,,,,,,,,,,,,
443054,"4,5","40 – 100ml",Standard-Napf,Standard-Napf,swisspet,Edelstahl,"5 – 10cm",Rund,,,,,,,,,,,,
400861,"7,5","301 – 600ml",Standard-Napf,Standard-Napf,swisspet,Keramik,"10.1 – 15cm",Rund,Rot,,,,,,,,,,,
400862,"7,5","301 – 600ml",Standard-Napf,Standard-Napf,swisspet,Keramik,"10.1 – 15cm",Rund,Schwarz,,,,,,,,,,,
400863,"6,5","301 – 600ml",Standard-Napf,Standard-Napf,swisspet,Keramik,"5 – 10cm",Rund,Schwarz,,,,,,,,,,,
498024,129,,,,swisspet,Nylon,,,Weiss||Schwarz,Indoor-Gebrauch||Outdoor-Gebrauch,Meerschweinchen||Kaninchen,"101 – 130cm","101 – 130cm","46 – 60cm",Abdecknetz,,,,,
404082,109,,,,Ferplast,Kunststoff||Metall,,,Schwarz,"Indoor-Gebrauch||Aufklappbares Dach",Hamster||Maus,"31 – 60cm","31 – 50cm","20 – 35cm","Volle Ausstattung||Laufrad||Nagerhaus||Tränke||Napf","0.05 – 0.30m³",,,,"10 – 20cm"
403648,99,,,,Ferplast,Kunststoff||Plexiglas||Metall,,,Blau,"Indoor-Gebrauch||Aufklappbares Dach",Maus,"31 – 60cm","31 – 50cm","36 – 45cm","Volle Ausstattung||Laufrad||Nagerhaus||Tränke||Napf","0.05 – 0.30m³",,,,"10 – 20cm"
404084,149,,,,Ferplast,Kunststoff||Plexiglas||Metall,,,Blau,"Indoor-Gebrauch||Aufklappbares Dach",Hamster||Maus,"61 – 100cm","31 – 50cm","36 – 45cm","Volle Ausstattung||Laufrad||Nagerhaus||Tränke||Napf","0.05 – 0.30m³",,,,"10 – 20cm"
404060,72,,,,Ferplast,Kunststoff,,,Blau,"Indoor-Gebrauch||Aufklappbares Dach",Hamster||Maus,"61 – 100cm","31 – 50cm","20 – 35cm","Ohne Ausstattung","0.05 – 0.30m³",,,,"10 – 20cm"
403779,129,,,,Ferplast,Kunststoff||Metall,,,Blau,"Indoor-Gebrauch||Aufklappbares Dach||Erweiterungsmodul erhältlich",Hamster||Maus,"31 – 60cm","20 – 30cm","20 – 35cm","Volle Ausstattung||Laufrad||Nagerhaus||Tränke||Napf ||Etage & Holzleitern","0.05 – 0.30m³",,,,"10 – 20cm"
403442,"48,9",,,,Ferplast,Kunststoff||Plexiglas||Metall,,,,Indoor-Gebrauch,Hamster||Maus,"31 – 60cm","20 – 30cm","20 – 35cm",Röhrensystem,"0.05 – 0.30m³",,,,
403782,289,,,,Ferplast,Glas||Metall,,,Schwarz,Indoor-Gebrauch,Hamster||Maus||Ratte,"61 – 100cm","51 – 60cm","61 – 100cm","Volle Ausstattung||Laufrad||Nagerhaus||Tränke||Napf ||Etage & Holzleitern","0.05 – 0.30m³",,,,"Über 20cm"
410120,399,,,,skyline,Holz||Metall||Plexiglas||Kunststoff,,,Schwarz,"Indoor-Gebrauch||Auf Rollen",Meerschweinchen||Kaninchen,"101 – 130cm","Über 70cm","61 – 100cm","Ohne Ausstattung","0.61 – 1m³",,,,
410140,499,,,,skyline,Holz||Metall||Plexiglas||Kunststoff,,,Schwarz,"Indoor-Gebrauch||Auf Rollen",Meerschweinchen||Kaninchen,"131 – 160cm","Über 70cm","62 – 100cm","Ohne Ausstattung","0.61 – 1m³",,,,
404104,365,,,,skyline,Glas||Metall,,,Schwarz,Indoor-Gebrauch,Hamster||Maus||Ratte,"61 – 100cm","31 – 50cm","36 – 45cm","Etage & Holzleitern||Nagerhaus","0.31 – 0.60m³",,,,"Über 20cm"
404137,199,,,,skyline,Glas||Metall,,,Schwarz,Indoor-Gebrauch,Hamster||Maus,"61 – 100cm","31 – 50cm","46 – 60cm","Nagerhaus||Tränke||Napf||Etage & Holzleitern","0.31 – 0.60m³",,,,
404138,399,,,,skyline,Glas||Metall,,,Schwarz,"Indoor-Gebrauch||Aufklappbares Dach",Hamster||Maus||Ratte,"101 – 130cm","51 – 60cm","61 – 100cm","Etage & Holzleitern","0.31 – 0.60m³",,,,
400026,139,,,,swisspet,Glas||Metall||Kunststoff,,,Schwarz,"Indoor-Gebrauch||Aufklappbares Dach||Erweiterungsmodul erhältlich",Hamster||Maus,"61 – 100cm","31 – 50cm","36 – 45cm","Ohne Ausstattung","0.05 – 0.30m³",,,,
400028,199,,,,swisspet,Glas||Metall||Kunststoff,,,Schwarz,"Indoor-Gebrauch||Aufklappbares Dach||Erweiterungsmodul erhältlich",Hamster||Maus,"61 – 100cm","31 – 50cm","36 – 45cm","Ohne Ausstattung","0.05 – 0.30m³",,,,
400022,179,,,,swisspet,Glas||Metall||Kunststoff,,,Schwarz,"Indoor-Gebrauch||Aufklappbares Dach||Erweiterungsmodul erhältlich",Hamster||Maus,"61 – 100cm","31 – 50cm","36 – 45cm","Ohne Ausstattung","0.05 – 0.30m³",,,,
400023,269,,,,swisspet,Glas||Metall||Kunststoff,,,Schwarz,"Indoor-Gebrauch||Aufklappbares Dach||Erweiterungsmodul erhältlich",Hamster||Maus,"61 – 100cm","31 – 50cm","46 – 60cm","Ohne Ausstattung","0.05 – 0.30m³",,,,
403513,319,,,,Ferplast,Kunststoff||Metall,,,Weiss||Grau,"Indoor-Gebrauch||Aufklappbares Dach",Ratte,"61 – 100cm","Über 70cm","61 – 100cm","Volle Ausstattung||Nagerhaus||Tränke||Napf||Etage & Holzleitern||Röhrensystem","0.31 – 0.60m³",,,,"10 – 20cm"
403515,498,,,,Ferplast,Kunststoff||Metall,,,Weiss||Grau,"Indoor-Gebrauch||Auf Rollen",Ratte||Chinchilla||Hörnchen,"62 – 100cm","Über 70cm","Über 100cm","Volle Ausstattung||Nagerhaus||Tränke||Napf ||Etage & Holzleitern||Röhrensystem","0.61 – 1m³",,,,"10 – 20cm"
404097,139,,,,Ferplast,Kunststoff||Metall,,,Weiss||Grau||Bordeaux||Schwarz,"Indoor-Gebrauch||Erweiterungsmodul erhältlich",Meerschweinchen||Kaninchen,"101 – 130cm","51 – 60cm","46 – 60cm","Volle Ausstattung||Nagerhaus||Tränke||Napf||Futterraufe","0.31 – 0.60m³",,,,"10 – 20cm"
404098,149,,,,Ferplast,Kunststoff||Metall,,,Weiss||Grau||Bordeaux||Schwarz,"Indoor-Gebrauch||Erweiterungsmodul erhältlich",Meerschweinchen||Kaninchen,"131 – 160cm","51 – 60cm","46 – 60cm","Volle Ausstattung||Nagerhaus||Tränke||Napf","0.31 – 0.60m³",,,,"10 – 20cm"
404099,179,,,,Ferplast,Kunststoff||Metall,,,Weiss||Grau||Bordeaux||Schwarz,"Indoor-Gebrauch||Erweiterungsmodul erhältlich",Meerschweinchen||Kaninchen,"Über 160cm","51 – 60cm","46 – 60cm","Volle Ausstattung||Nagerhaus||Tränke||Napf||Futterraufe","0.31 – 0.60m³",,,,"10 – 20cm"
404093,69,,,,Ferplast,Kunststoff||Metall,,,Weiss||Grau||Bordeaux||Schwarz,"Indoor-Gebrauch||Erweiterungsmodul erhältlich",Meerschweinchen||Kaninchen,"31 – 60cm","51 – 60cm","31 – 50cm","Ohne Ausstattung","0.05 – 0.30m³",,,,"10 – 20cm"
